add-yield-none,4,1000,8000,9271000,1158,-36
add-yield-none,8,1000,16000,25076000,1567,-95
add-yield-none,12,1000,24000,41065000,1711,-151
add-yield-none,2,10000,40000,51687000,1292,-128
add-yield-none,4,10000,80000,41022000,512,-984
add-yield-none,8,10000,160000,138920000,868,-2214
add-yield-none,12,10000,240000,161269000,671,-942
add-yield-none,2,100000,400000,416069000,1040,2538
add-yield-none,4,100000,800000,408618000,510,-2996
add-yield-none,8,100000,1600000,719720000,449,-2432
add-yield-none,12,100000,2400000,1353662000,564,-16234
add-none,1,100,200,487000,2435,0
add-none,1,1000,2000,706000,353,0
add-none,1,10000,20000,1413000,70,0
add-none,1,100000,200000,6463000,32,0
add-none,1,1000000,2000000,50559000,25,0
add-none,2,100,400,1410000,3525,0
add-none,2,1000,4000,1062000,265,0
add-none,2,10000,40000,2121000,53,95
add-none,2,100000,400000,18450000,46,-16150
add-none,2,1000000,4000000,75434000,18,98687
add-none,4,100,800,1025000,1281,0
add-none,4,1000,8000,1295000,161,0
add-none,4,10000,80000,3079000,38,-1514
add-none,4,100000,800000,30122000,37,-125702
add-none,4,100000,800000,37664000,47,-22890
add-yield-none,1,100,200,1836000,9180,0
add-yield-none,1,1000,2000,5869000,2934,0
add-yield-none,1,10000,20000,61464000,3073,0
add-yield-none,1,100000,200000,331010000,1655,0
add-yield-none,1,1000000,2000000,2912990000,1456,0
add-yield-none,2,100,400,901000,2252,77
add-yield-none,2,1000,4000,3586000,896,84
add-yield-none,2,10000,40000,30753000,768,177
add-yield-none,2,100000,400000,295138000,737,177
add-yield-none,2,1000000,4000000,3004503000,751,-4547
add-yield-none,4,100,800,1113000,1391,-19
add-yield-none,4,1000,8000,3825000,478,-47
add-yield-none,4,10000,80000,38282000,478,-541
add-yield-none,4,100000,800000,355194000,443,-7416
add-yield-none,4,1000000,8000000,3361373000,420,20207
add-yield-m,2,10000,40000,92505000,2312,0
add-yield-m,4,10000,80000,241965000,3024,0
add-yield-m,8,10000,160000,569690000,3560,0
add-yield-m,12,10000,240000,928772000,3869,0
add-yield-c,2,10000,40000,65368000,1634,0
add-yield-c,4,10000,80000,131433000,1642,0
add-yield-c,8,10000,160000,397175000,2482,0
add-yield-c,12,10000,240000,918694000,3827,0
add-yield-s,2,10000,40000,63025000,1575,0
add-yield-s,4,10000,80000,134045000,1675,0
add-yield-s,8,1000,16000,1291731000,80733,0
